slug,id,document_key
bitcoin,5aeacb0cca5e76000dab93a1,SksIiBd6z
ethereum,5aeadada080b3a000d78936c,H1ugBX9Bd
tether,5aeade00080b3a000d78936d,HJkQAIupM
usd-coin,606859976e5a8900107faa48,HJX1cRBSO
binance,5aeb54be080b3a000d789371,rk8JSCuaz
ripple,5aeacf0cca5e76000dab93a2,Sk2X1IOaf
cardano,5ed40bbbf9f81a000edff161,HkUIhFWhL
solana,5fb7fef80009ce001085ce85,rkzN1YB9w
dogecoin,6043cad7d4f39a0010f5d621,HyX-oSWQO
matic-network,5f24933cafdae0000e7bbdc9,HyH_XzfbD
polkadot,5fa45a1d49365c0010de2503,B1uD5RZKD
shiba-inu,609a78940423d5000fad8ced,rJsAugdOd
dai,5f20204cb8868b000eb44173,rJQKxiTxv
polygon,603a1bf79d860a00102feea4,rk1I25PzO
tron,5aead50d080b3a000d78936b,SJd7rLdTz
avalanche,5fb800d20009ce001085ce8a,BkB3-YH5P
leocoin,5b2c2ef10b15cb000ea2d167,ryT7k3K-X
wrapped-bitcoin,5fa45d1f49365c0010de250c,H1SUa0WFw
unus-sed-leo,5fb8170e10d38b0010ff2441,S1_BP5Hqw
uniswap,5fa45f4d49365c0010de2515,SyrzV-MBu
cosmos,5ed410e9f9f81a000edff168,BJNXW5ZnU
litecoin,6053d0bc2c03620010b9c161,SkGJbIbEO
chainlink,5ccb0e4e09b644000eadba07,B1U9CtOiE
ftx-token,5e1b52c30aa9e9000ea0fd88,HJRMXAOeU
crypto-com-chain,5ccb000409b644000eadb9e4,rJ-RxKdsE
stellar,5aead170080b3a000d789369,rJx3ZId6M
flow-dapper-labs,603033ee5b7bf000102317af,SyLbBhpZd
lido-dao,63c8cab8aa1a876c83cb4859,Vv-52YATi
vechain,5ed40524f9f81a000edff152,rysIBFW28
filecoin,5fa45e7449365c0010de2512,B1F5C0bYD
chiliz,5e3f1abdb4c11d0018ab17bd,HkkOi93MU
internet-computer,63c8cef9aa1a876c83cb4add,yadGK3-c-
tezos,5ccafcd809b644000eadb9df,BkNz6udiE
decentraland,5b140425624c02000ee512d4,rJ-nNYZxm
hedera-hashgraph,5e1cc50c3833df000e67a2a5,SJTLBSqeL
the-sandbox,60318b0c9c4731001009dc64,HJoEs-JGO
quant,5ce79fdd7cfe9d000e778dde,ry_rgmBpE
eos-1,604393e4d4f39a0010f5d570,BkAz4fWXO
theta-token,5b13a8b1624c02000ee51292,rkh7tmbxX
elrond,5e1cc6eb3833df000e67a2aa,Bk0fDH5x8
aave,5e4556520300e8000eada3f3,HJCqURGmI
kucoin-shares,5af3d8b9560819000d6028b4,HyU0dUbRG
zcash,5aeb687e080b3a000d789374,S17gyr-Gd
bittorrent,5ccb601b09b644000eadba22,H1VPe1KoV
iota,5aead31a080b3a000d78936a,SkUUXUdaf
synthetix-network-token,5e1b56ab0aa9e9000ea0fd90,rklNPAOeU
klaytn,6061a3dd29f30500103cc7ff,HJib4XJrd
maker,5af060da12eed6000d53512d,SydeWy06M
gemini-dollar,63c8bddb7525e80f4c784be4,qM5O_Ktbn
helium,60414ebbd9bcb60010740fc9,rJLzyA0zu
neo,5fb82a4310d38b0010ff245f,Bkq_qjHcv
fantom,5cfeaf216e3915000eddcfed,BJYrJN2RN
pax-gold,60415c33d9bcb60010741008,r1tw30CGu
thorchain,60649de1844e3f0010f19c75,rJym0MGBd
nexo,5b1cbc0de0beb5000e207e29,rymO0NceQ
curve-dao-token,603014212d974300100060ed,rkL5EcaWu
enjin-coin,5ccb618309b644000eadba26,Hk6AbktjV
dash,5fb8110810d38b0010ff2437,B1RrZ9B9w
basic-attention-token,5af16ce694d054000d104f7d,ByqY0kkCM
waves,5fbc29fa4da13d001083a87a,ryiX5otcv
zilliqa,5aec24f0080b3a000d789377,HJnNSoK6G
fei-protocol,607062f0fee8b50010cca369,SJbEQ1RBO
ravencoin,5b2048ae6c7116000e12a3e3,S1WmtpTlX
kava-io,5fb82f0e10d38b0010ff246b,Sk_Ny2S9v
compound,5f201d6ab8868b000eb44166,r1CcaqTxv
loopring,5af06d2e12eed6000d535131,rkMI6kCaf
celsius,5e401a3c1b1171000eb8b048,ByIt99TzI
1inch,602ffc8231776a0010650341,rJ_T2O6WO
nem,5ed41328f9f81a000edff170,HyI975WnU
holo,5af43f04196991000da4e29d,SJRrkaWRG
ankr-network,5cff2228d2dd5c000e84dcda,HJuYzih0N
terra,5f201ebbb8868b000eb4416d,HJf-1oaev
arweave,60303b1e5b7bf000102317e2,Bk3LihTbO
xinfin-network,6071bc0df593cd00103ff03a,SJRS2V1Uu
gnosis,5b17d40b8b33af000ed2b37c,Hyhu48rg7
usdj,63c8c567aa1a876c83cb44bb,Xo4sshb9w
qtum,5aeae26c080b3a000d78936f,Byp2fw_pM
safemoon,6058d82b4dfcdc0010b9859b,HJPwuI84O
kyber-network,5af3dbf7560819000d6028b5,HydX2IZRz
link,63c8c1a07525e80f4c784dff,mNx1bGDnD
iotex,5b20e5d31de29f000ea165df,HJRgLvCgX
golem,5af05f5112eed6000d53512c,S1Q_1yRTG
theta-fuel,63c8bf7f7525e80f4c784ccd,HCBkbWpDs
rocket-pool,5e46814403c305000ef755b6,rJ1d-Z478
reserve-rights,5d507efc929bd0000e5ce2fe,ByvvJWRXr
omisego,5aeadef4080b3a000d78936e,SJhNJDu6M
harmony,5e21cdb29aa6ab000e77a270,SkVJ0H1W8
iostoken,5af0736112eed6000d535133,r1AcQeAaM
zeon,5e467ef703c305000ef755b2,S1mSJZV7L
chain,63c904ab4a323b78af8b00e5,tnqTp-S7r
balancer,604ca40cc191230010c8b466,Hk9DV75mu
0x,5aec340d94c77a000d700f91,ByDVN2tTf
bora,5e944a8dd02e7f000eda6236,Skdp96WdL
symbol,63c8cd1caa1a876c83cb49ca,futN4zsxm
icon,5aeb51d0080b3a000d789370,ryflf0dTf
just,63c8c5bdaa1a876c83cb44f9,dWPORTj7j
zencash,5b13fe04624c02000ee512ca,r1CHkYWl7
abbc-foundation,5ccb0c4309b644000eadba03,S1nvnK_oE
serum,603039c15b7bf000102317d9,rypJch6-_
ontology,5ed409a0f9f81a000edff15c,rJpb5KbnU
siacoin,5aec2a8594c77a000d700f8e,BJ1-joYTG
wax-1,5ccb65e109b644000eadba30,
swipe,5e1b645f0aa9e9000ea0fd9a,B1pq4kKlI
audius,6042b225cefa7d001049ae03,SyUDGNgQd
polymath,5af43bb9196991000da4e29a,SyOAs3-0G
voyager-token,603143fb5b7bf00010231cbf,BkJSEa0W_
chia-network,60a16f8de26d6b000f7d3cd6,Bye1gl1tu
ergo-1,6084246c0b94e6000f6f61f5,SkocViWwd
secret,6074b9af4ff7640010e50523,SyvJ9Nz8d
swissborg,5f249056afdae0000e7bbdc4,rJPYxfzbv
uma,6030032731776a001065036c,H16_mKT-u
digibyte,603a6eb29d860a00102fefc6,HkZ1Jx_zd
skale-network,60437840d4f39a0010f5d509,SJCOOlZ7O
civic,5fb80f1610d38b0010ff2433,r1-By9S5D
keep-network,60437351d4f39a0010f5d4e6,S1gqmgbmu
storj,63c14ca22e8fab2b576d0653,pFBBdlvEh
medibloc,5b24f664b84b58000e5d92d1,HJfj8Of-7
ceek-vr,5b29f76875cf69000ef18bb9,rk-Z__wWm
ultra,5e47ca813eeff40018892c6a,H18n5SBX8
humanscape,5cff296e6edb820018c1ae59,Sy03to2R4
stasis-euro,60830af50dbabc000f6472fc,BJ7vsYxvO
request-network,5b17669d6bcb44000e79a550,ByeQw1BeQ
energy-web-token,5fa4639e49365c0010de2521,S17AmkzFv
tribe,63c8d95d4a323b78af8aeac9,Wim5pJvGH
syscoin,5af436d0196991000da4e296,H1v1v2bAf
maidsafecoin,5cc9530fd35ff90018ac7f4c,ByGv7RLsV
conflux-network,606ca195185c5000106d8294,HkTCZQcHu
bitcoin-standard-hashrate-token,6074b3e84ff7640010e504f7,H1kLVEMUu
ren,5ce79e8d7cfe9d000e778dda,HJ8pRMraV
celer-network,5ce6af3cdcfde8000e99168f,By-9JN464
coti,5f202cafb8868b000eb4418c,SJm1pipgP
mvl,5fb81d8b10d38b0010ff244d,S1KTa5rqP
wink,5d8a264903d49f001864b6dd,SkOFUivDB
status,5af062be12eed6000d53512e,H1kfmyAaf
power-ledger,5b13f4cc624c02000ee512b9,HyHfUdbg7
avinoc,63c8bdbb7525e80f4c784bc9,Wp6xhPfrd
ardor,5af1736394d054000d104f80,BJZYXgJRM
velas,5e46fdf70ee1ca000e6625f5,H1WFCu47I
orbs,5cd0393b324b00000e0baa48,HymcK36oV
reef,6030018b31776a001065035f,HkU6-FpZO
prometeus,6042b4f8cefa7d001049ae12,B1LNSVlmu
function-x,5e4558010300e8000eada3f7,r1tSOAMQL
uquid-coin,5b2f1fb03b8e93000e2bc184,ryCzejn-Q
ocean-protocol,5f2494aaafdae0000e7bbdcf,B1kyHzG-D
dent,5b17cbe78b33af000ed2b36c,ryj8nrHgX
iexec,5b13bd32624c02000ee512ab,rkUATVZgQ
numeraire,5b31d2058f3658000eac0c0b,Sy9rzU1zX
dexe,63c8c954aa1a876c83cb4768,SJ-62xdHT
everscale,63c8c98daa1a876c83cb4795,pM5DDeh71
