Unnamed: 0,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote,whitepaper_link,og_whitepaper_link,combined_links
0,1,Bitcoin,BTC,bitcoin,11105,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19709665.0,19709665.0,False,,1,,,,2024-06-08T19:21:00.000Z,"{'USD': {'price': 69469.22853544896, 'volume_24h': 16917512747.969442, 'volume_change_24h': -53.0532, 'percent_change_1h': 0.04166392, 'percent_change_24h': 0.95024538, 'percent_change_7d': 2.70739919, 'percent_change_30d': 11.54559098, 'percent_change_60d': 1.04046949, 'percent_change_90d': 0.02485054, 'market_cap': 1369215222242.1396, 'market_cap_dominance': 53.8866, 'fully_diluted_market_cap': 1458853799244.43, 'tvl': None, 'last_updated': '2024-06-08T19:21:00.000Z'}}",https://whitepaper.io/document/0/bitcoin-whitepaper,https://bitcoin.org/bitcoin.pdf,https://whitepaper.io/document/0/bitcoin-whitepaper
1,1027,Ethereum,ETH,ethereum,9052,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120149222.4397492,120149222.4397492,True,,2,,,,2024-06-08T19:20:00.000Z,"{'USD': {'price': 3690.2516602496867, 'volume_24h': 10559690476.20269, 'volume_change_24h': -42.1277, 'percent_change_1h': -0.07111927, 'percent_change_24h': 0.57509656, 'percent_change_7d': -2.80103644, 'percent_change_30d': 22.30823552, 'percent_change_60d': 5.42758231, 'percent_change_90d': -5.47516815, 'market_cap': 443380867585.9934, 'market_cap_dominance': 17.4496, 'fully_diluted_market_cap': 443380867585.99, 'tvl': None, 'last_updated': '2024-06-08T19:20:00.000Z'}}",https://whitepaper.io/document/718/ethereum-whitepaper,https://github.com/ethereum/wiki/wiki/White-Paper,https://whitepaper.io/document/718/ethereum-whitepaper
2,825,Tether USDt,USDT,tether,88080,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,112453114731.33092,115086088103.16122,True,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xdac17f958d2ee523a2206206994597c13d831ec7'}",3,,,,2024-06-08T19:20:00.000Z,"{'USD': {'price': 0.9999387785180386, 'volume_24h': 48096275499.940125, 'volume_change_24h': -41.4495, 'percent_change_1h': -0.00680025, 'percent_change_24h': 0.05454998, 'percent_change_7d': 0.07484555, 'percent_change_30d': 0.00967605, 'percent_change_60d': 0.02517806, 'percent_change_90d': -0.19466886, 'market_cap': 112446230184.9959, 'market_cap_dominance': 4.4254, 'fully_diluted_market_cap': 115079042362.29, 'tvl': None, 'last_updated': '2024-06-08T19:20:00.000Z'}}",https://whitepaper.io/document/6/tether-whitepaper,https://tether.to/wp-content/uploads/2016/06/TetherWhitePaper.pdf,https://whitepaper.io/document/6/tether-whitepaper
3,1839,BNB,BNB,bnb,2179,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,147564508.17518213,147564508.17518213,False,,4,,,,2024-06-08T19:20:00.000Z,"{'USD': {'price': 686.5961586689905, 'volume_24h': 2092236665.6448278, 'volume_change_24h': -30.3316, 'percent_change_1h': 0.07243951, 'percent_change_24h': 1.16185123, 'percent_change_7d': 15.1841498, 'percent_change_30d': 15.5255532, 'percent_change_60d': 18.62660676, 'percent_change_90d': 29.48953551, 'market_cap': 101317224468.9589, 'market_cap_dominance': 3.9877, 'fully_diluted_market_cap': 101317224468.96, 'tvl': None, 'last_updated': '2024-06-08T19:20:00.000Z'}}",,,
4,5426,Solana,SOL,solana,678,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,460568392.51194274,577710309.8058813,True,,5,,,,2024-06-08T19:20:00.000Z,"{'USD': {'price': 160.17635856095566, 'volume_24h': 1917766391.2891436, 'volume_change_24h': -42.0715, 'percent_change_1h': -0.39132586, 'percent_change_24h': -0.81624884, 'percent_change_7d': -4.16957369, 'percent_change_30d': 7.88709448, 'percent_change_60d': -7.97333351, 'percent_change_90d': 10.49279435, 'market_cap': 73772167980.8359, 'market_cap_dominance': 2.9034, 'fully_diluted_market_cap': 92535533727.83, 'tvl': None, 'last_updated': '2024-06-08T19:20:00.000Z'}}",https://whitepaper.io/document/602/solana-whitepaper,https://solana.com/solana-whitepaper.pdf,https://whitepaper.io/document/602/solana-whitepaper
5,3408,USDC,USDC,usd-coin,19652,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,32185641953.868404,32185641953.868404,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48'}",6,,,,2024-06-08T19:20:00.000Z,"{'USD': {'price': 1.0000396086843237, 'volume_24h': 3654729168.969278, 'volume_change_24h': -51.6832, 'percent_change_1h': -0.00365615, 'percent_change_24h': 0.01107978, 'percent_change_7d': -0.00402511, 'percent_change_30d': -0.00090046, 'percent_change_60d': 0.00478991, 'percent_change_90d': 0.01139796, 'market_cap': 32186916784.800312, 'market_cap_dominance': 1.2667, 'fully_diluted_market_cap': 32186916784.8, 'tvl': None, 'last_updated': '2024-06-08T19:20:00.000Z'}}",https://whitepaper.io/document/716/usd-coin-whitepaper,https://f.hubspotusercontent30.net/hubfs/9304636/PDF/centre-whitepaper.pdf,https://whitepaper.io/document/716/usd-coin-whitepaper
6,52,XRP,XRP,xrp,1339,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55506158411.0,99987553871.0,False,,7,,,,2024-06-08T19:21:00.000Z,"{'USD': {'price': 0.4940825133465051, 'volume_24h': 993956592.2493969, 'volume_change_24h': -56.7488, 'percent_change_1h': -0.16049485, 'percent_change_24h': 0.7822301, 'percent_change_7d': -4.67669444, 'percent_change_30d': -4.7602079, 'percent_change_60d': -20.5168259, 'percent_change_90d': -19.42349051, 'market_cap': 27424622253.916134, 'market_cap_dominance': 1.0793, 'fully_diluted_market_cap': 49408251334.65, 'tvl': None, 'last_updated': '2024-06-08T19:21:00.000Z'}}",,https://ripple.com/files/ripple_consensus_whitepaper.pdf,https://ripple.com/files/ripple_consensus_whitepaper.pdf
7,74,Dogecoin,DOGE,dogecoin,984,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,144628366383.7052,144628366383.7052,True,,8,,,,2024-06-08T19:21:00.000Z,"{'USD': {'price': 0.14638749418516991, 'volume_24h': 992040964.7774158, 'volume_change_24h': -34.5974, 'percent_change_1h': -0.20892099, 'percent_change_24h': -0.45810402, 'percent_change_7d': -8.7873706, 'percent_change_30d': -2.13733282, 'percent_change_60d': -22.05557302, 'percent_change_90d': -15.68234284, 'market_cap': 21171784143.00527, 'market_cap_dominance': 0.8332, 'fully_diluted_market_cap': 21171784143.01, 'tvl': None, 'last_updated': '2024-06-08T19:21:00.000Z'}}",https://whitepaper.io/document/672/dogecoin-whitepaper,https://github.com/dogecoin/dogecoin/blob/master/README.md,https://whitepaper.io/document/672/dogecoin-whitepaper
8,11419,Toncoin,TON,toncoin,392,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2431636640.9940844,5107349541.222528,True,,9,3414166606.0,24221183563.645943,,2024-06-08T19:20:00.000Z,"{'USD': {'price': 7.094317987025014, 'volume_24h': 282632794.30515784, 'volume_change_24h': -44.1688, 'percent_change_1h': -0.73197526, 'percent_change_24h': -1.44120643, 'percent_change_7d': 12.98448406, 'percent_change_30d': 11.16814699, 'percent_change_60d': 6.64505455, 'percent_change_90d': 151.82423128, 'market_cap': 17250803560.11342, 'market_cap_dominance': 0.6789, 'fully_diluted_market_cap': 36233161716.32, 'tvl': None, 'last_updated': '2024-06-08T19:20:00.000Z'}}",https://whitepaper.io/document/0/toncoin-whitepaper,https://ton.org/whitepaper.pdf,https://whitepaper.io/document/0/toncoin-whitepaper
9,2010,Cardano,ADA,cardano,1192,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35716346033.478,36939171470.778,False,,10,,,,2024-06-08T19:20:00.000Z,"{'USD': {'price': 0.4349868240577012, 'volume_24h': 399680685.3588454, 'volume_change_24h': -53.2432, 'percent_change_1h': -0.26839408, 'percent_change_24h': -2.73591073, 'percent_change_7d': -3.06494267, 'percent_change_30d': -5.23557041, 'percent_change_60d': -27.48336094, 'percent_change_90d': -39.51362421, 'market_cap': 15536139928.048468, 'market_cap_dominance': 0.6115, 'fully_diluted_market_cap': 19574407082.6, 'tvl': None, 'last_updated': '2024-06-08T19:20:00.000Z'}}",https://whitepaper.io/document/581/cardano-whitepaper,https://docs.cardano.org/en/latest/,https://whitepaper.io/document/581/cardano-whitepaper
10,5994,Shiba Inu,SHIB,shiba-inu,829,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589271777628014.2,589519951065358.5,False,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce'}",11,,,,2024-06-08T19:20:00.000Z,"{'USD': {'price': 2.3312256697502826e-05, 'volume_24h': 461457437.4233115, 'volume_change_24h': -39.3068, 'percent_change_1h': -0.32530745, 'percent_change_24h': -0.32202027, 'percent_change_7d': -7.78421277, 'percent_change_30d': 0.25208157, 'percent_change_60d': -15.50575013, 'percent_change_90d': -30.8457816, 'market_cap': 13737254944.658072, 'market_cap_dominance': 0.5406, 'fully_diluted_market_cap': 13743040427.53, 'tvl': None, 'last_updated': '2024-06-08T19:20:00.000Z'}}",https://whitepaper.io/document/758/shiba-inu-whitepaper,https://github.com/shytoshikusama/woofwoofpaper/raw/main/SHIBA_INU_WOOF_WOOF.pdf,https://whitepaper.io/document/758/shiba-inu-whitepaper
11,5805,Avalanche,AVAX,avalanche,739,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,393255135.1160755,442601505.1160755,False,,12,,,,2024-06-08T19:20:00.000Z,"{'USD': {'price': 32.54918500821353, 'volume_24h': 314565536.1183741, 'volume_change_24h': -48.0905, 'percent_change_1h': -0.15058393, 'percent_change_24h': -2.14135023, 'percent_change_7d': -9.32047731, 'percent_change_30d': -5.39840328, 'percent_change_60d': -30.9274914, 'percent_change_90d': -22.70935273, 'market_cap': 12800134148.32315, 'market_cap_dominance': 0.5038, 'fully_diluted_market_cap': 23297037474.12, 'tvl': None, 'last_updated': '2024-06-08T19:20:00.000Z'}}",https://whitepaper.io/document/604/avalanche-whitepaper,https://www.avalabs.org/whitepapers,https://whitepaper.io/document/604/avalanche-whitepaper
12,1958,TRON,TRX,tron,988,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87324372925.1978,87324388212.74991,True,,13,71659659264.0,8226547463.267417,,2024-06-08T19:20:00.000Z,"{'USD': {'price': 0.11480025927781974, 'volume_24h': 330818879.9446516, 'volume_change_24h': -13.726, 'percent_change_1h': 0.1860428, 'percent_change_24h': 1.81150407, 'percent_change_7d': 1.94917639, 'percent_change_30d': -9.28794556, 'percent_change_60d': -4.86255182, 'percent_change_90d': -14.91334185, 'market_cap': 10024860653.08573, 'market_cap_dominance': 0.3945, 'fully_diluted_market_cap': 10024862408.1, 'tvl': None, 'last_updated': '2024-06-08T19:20:00.000Z'}}",https://whitepaper.io/document/4/tron-whitepaper,https://developers.tron.network/docs,https://whitepaper.io/document/4/tron-whitepaper
