slug,id
bitcoin,5aeacb0cca5e76000dab93a1
ethereum,5aeadada080b3a000d78936c
tether,5aeade00080b3a000d78936d
usd-coin,606859976e5a8900107faa48
binance,5aeb54be080b3a000d789371
ripple,5aeacf0cca5e76000dab93a2
cardano,5ed40bbbf9f81a000edff161
solana,5fb7fef80009ce001085ce85
dogecoin,6043cad7d4f39a0010f5d621
matic-network,5f24933cafdae0000e7bbdc9
polkadot,5fa45a1d49365c0010de2503
shiba-inu,609a78940423d5000fad8ced
dai,5f20204cb8868b000eb44173
polygon,603a1bf79d860a00102feea4
tron,5aead50d080b3a000d78936b
avalanche,5fb800d20009ce001085ce8a
leocoin,5b2c2ef10b15cb000ea2d167
wrapped-bitcoin,5fa45d1f49365c0010de250c
unus-sed-leo,5fb8170e10d38b0010ff2441
uniswap,5fa45f4d49365c0010de2515
cosmos,5ed410e9f9f81a000edff168
litecoin,6053d0bc2c03620010b9c161
chainlink,5ccb0e4e09b644000eadba07
ftx-token,5e1b52c30aa9e9000ea0fd88
crypto-com-chain,5ccb000409b644000eadb9e4
stellar,5aead170080b3a000d789369
flow-dapper-labs,603033ee5b7bf000102317af
lido-dao,63c8cab8aa1a876c83cb4859
vechain,5ed40524f9f81a000edff152
filecoin,5fa45e7449365c0010de2512
chiliz,5e3f1abdb4c11d0018ab17bd
internet-computer,63c8cef9aa1a876c83cb4add
tezos,5ccafcd809b644000eadb9df
decentraland,5b140425624c02000ee512d4
hedera-hashgraph,5e1cc50c3833df000e67a2a5
the-sandbox,60318b0c9c4731001009dc64
quant,5ce79fdd7cfe9d000e778dde
eos-1,604393e4d4f39a0010f5d570
theta-token,5b13a8b1624c02000ee51292
elrond,5e1cc6eb3833df000e67a2aa
aave,5e4556520300e8000eada3f3
kucoin-shares,5af3d8b9560819000d6028b4
zcash,5aeb687e080b3a000d789374
bittorrent,5ccb601b09b644000eadba22
iota,5aead31a080b3a000d78936a
synthetix-network-token,5e1b56ab0aa9e9000ea0fd90
klaytn,6061a3dd29f30500103cc7ff
maker,5af060da12eed6000d53512d
gemini-dollar,63c8bddb7525e80f4c784be4
helium,60414ebbd9bcb60010740fc9
neo,5fb82a4310d38b0010ff245f
fantom,5cfeaf216e3915000eddcfed
pax-gold,60415c33d9bcb60010741008
thorchain,60649de1844e3f0010f19c75
nexo,5b1cbc0de0beb5000e207e29
curve-dao-token,603014212d974300100060ed
enjin-coin,5ccb618309b644000eadba26
dash,5fb8110810d38b0010ff2437
basic-attention-token,5af16ce694d054000d104f7d
waves,5fbc29fa4da13d001083a87a
zilliqa,5aec24f0080b3a000d789377
fei-protocol,607062f0fee8b50010cca369
